No.,Article Title,Language,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",Publication Year,Number of Pages
256,An End-to-End Framework for Cybersecurity Taxonomy and Ontology Generation and Updating,English,55,2,3,2024,8
257,Constructing Cybersecurity Stocks Portfolio Using AI,English,27,2,3,2024,13
258,Optimizing quantum machine learning for proactive cybersecurity,English,57,2,2,2024,33
259,Different Attack and Defense Types for AI Cybersecurity,English,68,1,1,2024,14
260,Effect of AI: The Future Landscape of National Cybersecurity Strategies,English,37,1,1,2024,8
261,The Role of Machine Learning Algorithms in Smart Grid Cybersecurity.,English,13,1,1,2024,7
262,Developing a Cybersecurity Training Environment through the Integration of OpenAI and AWS,English,51,1,3,2024,24
263,Navigating the road to automotive cybersecurity compliance,English,27,1,1,2024,4
264,Experiential Learning Through Immersive XR: Cybersecurity Education for Critical Infrastructures,English,17,1,1,2024,14
265,A Cybersecurity Summer Camp for High School Students Using Autonomous R/C Cars,English,21,1,1,2024,7
266,AICyber-Chain: Combining AI and Blockchain for Improved Cybersecurity,English,57,1,2,2024,21
267,Application of Large Language Models in Cybersecurity: A Systematic Literature Review,English,210,1,3,2024,28
268,Digital Sentinels and Antagonists: The Dual Nature of Chatbots in Cybersecurity,English,113,1,1,2024,52
269,AI-driven solutions for cybersecurity: comparative analysis and ethical aspects,English,18,1,1,2024,14
270,Current trends in AI and ML for cybersecurity: A state-of-the-art survey,English,81,21,37,2023,30
271,Addressing Cybersecurity Issues in ERP Systems - Emerging Trends,English,57,0,0,2024,18
272,Cybersecurity Education within a Computing Science Program - A Literature Review,English,47,0,0,2024,5
273,AI and cybersecurity: a risk society perspective,English,46,0,1,2024,11
274,AI Efficiency in Cybersecurity: Estimating Token Consumption for Optimal Operations,English,24,0,0,2024,5
275,Exploring Large Language Model-Powered Pedagogical Approaches to Cybersecurity Education,English,25,0,0,2024,4
276,Empowering Future Cyber Defenders: Advancing Cybersecurity Education in Engineering and Computing with Experiential Learning,English,73,0,0,2024,9
277,Cybersecurity in SCADA Systems with Advanced AI and ML Techniques,English,53,0,0,2024,5
278,Decentering the Human: A Posthuman Approach to Cybersecurity Education,English,29,0,0,2024,6
279,Assessing ChatGPT's cybersecurity implications in Saudi Arabian healthcare and education sectors: A comparative study,English,44,0,0,2024,9
280,"Developing with Compliance in Mind: Addressing Data Protection Law, Cybersecurity Regulation, and AI Regulation During Software Development",English,24,0,0,2024,16
281,"The Intersection of Quantum Computing, AI, and Cybersecurity: Challenges and Opportunities",English,19,0,0,2024,6
282,Business Continuity Management of Critical Infrastructures from the Cybersecurity Perspective,English,30,0,0,2024,6
283,Sensemaking National Security: Applying Design Practice to Explore AI in Cybersecurity,English,40,0,0,2024,11
284,KINAITICS: Enhancing Cybersecurity Education Using AI-Based Tools and Gamification,English,28,0,0,2024,10
285,The audit committee's IT expertise and its impact on the disclosure of cybersecurity risk,English,38,0,0,2025,18
286,Evolving Cybersecurity Challenges in the Age of AI-Powered Chatbots: A Comprehensive Review,English,62,0,0,2024,12
287,Cybersecurity Risk Analysis in the IoT: A Systematic Review,English,57,18,19,2023,19
288,Cybersecurity for AI Systems: A Survey,English,139,7,13,2023,25
289,Formulating Cybersecurity Requirements for Autonomous Ships Using the SQUARE Methodology,English,51,16,17,2023,19
290,Cybersecurity Education in the Age of AI: Integrating AI Learning into Cybersecurity High School Curricula,English,26,14,14,2023,7
291,"Cybersecurity Attack Detection Model, Using Machine Learning Techniques",English,36,12,13,2023,16
292,Computing Specializations: Perceptions of AI and Cybersecurity Among CS Students,English,36,6,7,2023,7
293,Attacks to Automatous Vehicles: A Deep Learning Algorithm for Cybersecurity,English,61,68,74,2022,20
294,Golden Jackal Optimization with a Deep Learning-Based Cybersecurity Solution in Industrial Internet of Things Systems,English,31,5,5,2023,17
295,Emerging Digital Technologies in Healthcare with a Spotlight on Cybersecurity: A Narrative Review,English,90,4,5,2023,15
296,Cybersecurity and Digital Privacy Aspects of V2X in the EV Charging Structure,English,19,3,3,2023,7
297,"A survey on deep learning for cybersecurity: Progress, challenges, and opportunities",English,354,65,79,2022,33
298,"Application of cognitive computing in healthcare, cybersecurity, big data and IoT: A literature review",English,102,56,71,2022,16
299,Fundamentals of applying technology to support intelligence in decision- making systems,English,13,0,0,2024,13
300,"AI-driven fusion with cybersecurity: Exploring current trends, advanced techniques, future directions, and policy implications for evolving paradigms- A comprehensive review",English,240,6,6,2025,45
301,A Survey on Cybersecurity in IoT,English,287,6,9,2025,32
302,A Comprehensive Review of AI's Current Impact and Future Prospects in Cybersecurity,English,137,4,5,2025,22
303,"Cybersecurity in Electric and Flying Vehicles: Threats, Challenges, AI Solutions & Future Directions",English,96,4,5,2025,34
304,AI and Cybersecurity in the Connected World: A Viable Partnership?,English,6,0,0,2023,2
305,The Role of Digitalization in Achieving Cybersecurity in the Moroccan Banking System,English,13,0,0,2023,11
306,Generative AI-Enhanced Intelligent Tutoring System for Graduate Cybersecurity Programs,English,28,1,1,2025,19
307,A Comprehensive Survey on AI in Counter-Terrorism and Cybersecurity: Challenges and Ethical Dimensions,English,213,1,1,2025,25
308,Navigating cybersecurity training: A comprehensive review,English,248,1,2,2025,29
309,Cybersecurity in the AI-Based Metaverse: A Survey,English,58,40,55,2022,23
310,Potential of AI for User-Centric Cybersecurity in the Financial Sector,English,67,0,0,2025,10
311,The Future of AI in Predicting Cybersecurity Threats,English,19,0,0,2025,14
312,Generative AI cybersecurity and resilience,English,75,0,0,2025,18
313,Exploring the Nexus of Accounting and Cybersecurity,English,33,0,0,2025,10
314,"Digital Twins, AI, and Cybersecurity in Additive Manufacturing: A Comprehensive Review of Current Trends and Challenges",English,137,0,0,2025,29
315,AI skills in cybersecurity: global job trends analysis,English,58,0,0,2025,17
316,Cybersecurity Threats and Mitigation Strategies for Large Language Models in Health Care,English,55,0,0,2025,10
317,Cognitive Impacts of Explainable AI in Cybersecurity Incident Response: Challenges and Propositions,English,73,0,0,2025,23
318,"A cases and clusters framework for recording, retrieving, and reusing response plans in structured cybersecurity incident management",English,37,0,0,2025,20
319,Strengthening Cybersecurity Readiness in the Age of AI: A Strategic Guide for Executives,English,10,0,0,2025,4
320,Cutting-edge advances in AI and ML for cybersecurity: a comprehensive review of emerging trends and future directions,English,95,0,0,2025,43
321,Assessing the Impact of Driver Experience and Cybersecurity Concerns on Public Trust in Autonomous Vehicles,English,28,0,0,2025,12
322,A multimodal and adaptive gamified system to improve cybersecurity competence training,English,59,0,0,2025,21
323,Human factors in cybersecurity: an interdisciplinary review and framework proposal,English,52,0,0,2025,13
324,Advancing Cybersecurity through AI: Insights from EU and Candidate Nations,English,31,0,0,2025,11
325,An iterative five-phase process model to successfully implement AI for cybersecurity in a corporate environment,English,109,0,0,2025,21
326,"Next-Generation Smart Inverters: Bridging AI, Cybersecurity, and Policy Gaps for Sustainable Energy Transition",English,176,0,1,2025,31
327,AI-driven proactive security defense in distributed iov systems: Cyber threat intelligence modeling for connected autonomous vehicles,English,38,0,0,2025,18
328,A Roadmap for SMEs to Adopt an AI Based Cyber Threat Intelligence,English,78,6,7,2023,24
329,Intellectual structure of cybersecurity research in enterprise information systems,English,90,15,16,2023,25
330,A Mini Literature Review on Challenges and Opportunity in Threat Intelligence,English,25,3,3,2023,6
331,Cybersecurity Knowledge Extraction Using XAI,English,41,12,12,2022,18
332,Cybersecurity: Risk management framework and investment cost analysis,English,29,65,103,2021,13
333,An Exploratory Study of Cognitive Sciences Applied to Cybersecurity,English,100,4,5,2022,25
334,ACM KDD AI4Cyber/MLHat: Workshop on AI-enabled Cybersecurity Analytics and Deployable Defense,English,4,3,3,2022,2
335,The AI-Cybersecurity Nexus: The Good and the Evil,English,25,2,4,2022,5
336,Introduction to the Human Safety and Cybersecurity Track,English,0,0,0,2022,3
337,A Thematic Content Analysis of the Cybersecurity Skills Demand in South Africa,English,15,0,0,2022,15
338,"Editorial for the Special Section on Humans, Algorithms, and Augmented Intelligence: The Future of Work, Organizations, and Society",English,67,46,60,2021,14
339,Review of NLP-based Systems in Digital Forensics and Cybersecurity,English,126,11,15,2021,9
340,Evaluation of Cybersecurity Data Set Characteristics for Their Applicability to Neural Networks Algorithms Detecting Cybersecurity Anomalies,English,48,31,35,2020,10
341,Toward a Sustainable Cybersecurity Ecosystem,English,52,30,43,2020,17
342,Cybersecurity for digital manufacturing,English,84,80,105,2018,10
343,Missing and Incomplete Data Handling in Cybersecurity Applications,English,39,6,6,2021,14
344,Cognitive Cybersecurity for CPS-IoT Enabled Healthcare Ecosystems,English,12,23,26,2019,6
345,Survey of AI in Cybersecurity for Information Technology Management,English,34,17,24,2019,8
346,Survey on evolutionary computation methods for cybersecurity of mobile ad hoc networks,English,138,24,26,2018,23
347,Intelligence in cyberspace: the road to cyber singularity,English,198,13,15,2021,35
348,AI Powered THz Testing Technology for Ensuring Hardware Cybersecurity,English,6,3,3,2020,2
349,Review: Deep Learning Methods for Cybersecurity and Intrusion Detection Systems,English,33,2,2,2020,6
350,Ensuring Cybersecurity of Digital Production Using Modern Neural Network Methods,English,33,2,2,2020,7
351,Automated Decision Systems for Cybersecurity and Infrastructure Security,English,21,2,3,2020,6
352,A Systematic Study of AI Applications in Cybersecurity Competitions,English,26,1,2,2020,9
353,A Case-Based Reasoning Approach for the Cybersecurity Incident Recording and Resolution,English,23,6,8,2019,21
354,Explainable Intrusion Detection for Cyber Defences in the Internet of Things: Opportunities and Solutions,English,215,92,106,2023,33
355,"Position Paper on Recent Cybersecurity Trends: Legal Issues, AI and IoT",English,28,1,1,2018,7
356,Blockchain and explainable AI for enhanced decision making in cyber threat detection,English,37,8,12,2024,24
357,The Emerging Threat of Ai-driven Cyber Attacks: A Review,English,44,80,114,2022,34
358,AI Security: Cyber Threats and Threat-Informed Defense,English,23,1,1,2024,8
359,"Explainable Intrusion Detection Systems (X-IDS): A Survey of Current Methods, Challenges, and Opportunities",English,167,67,73,2022,24
360,CyberLearning: Effectiveness analysis of machine learning security modeling to detect cyber-anomalies and multi-attacks,English,64,42,61,2021,18
361,"In Alice and Bob, I trust?",English,15,0,0,2023,2
362,"Towards a Definition of Cyberspace Tactics, Techniques and Procedures",English,11,16,19,2017,6
363,Artificial Intelligence and/or Machine Learning Algorithms in Microalgae Bioprocesses,English,117,22,24,2024,26
364,"Cybersecurity for tactical 6G networks: Threats, architecture, and intelligence",English,162,10,11,2025,17
365,Artificial Intelligence in Nursing: Technological Benefits to Nurse's Mental Health and Patient Care Quality,English,176,11,14,2024,24
366,Ethical Dilemmas of Using Artificial Intelligence in Medicine,English,116,6,10,2024,10
367,A Web Semantic Mining Method for Fake Cybersecurity Threat Intelligence in Open Source Communities,English,36,5,6,2024,22
368,Cyber Threat Intelligence Mining for Proactive Cybersecurity Defense: A Survey and New Perspectives,English,123,93,108,2023,27
369,Enhanced threat intelligence framework for advanced cybersecurity resilience,English,56,3,3,2024,26
370,Navigating Autonomy: Unveiling Security Experts' Perspectives on Augmented Intelligence in Cybersecurity,English,102,2,2,2024,20
371,Artificial Intelligence-Based Cyber Security in the Context of Industry 4.0-A Survey,English,74,40,56,2023,18
372,Artificial intelligence in the context of digital marketing communication,English,55,3,5,2024,13
373,A Survey of Artificial Intelligence Applications in Nuclear Power Plants,English,42,3,3,2024,26
374,Exploring Generative Artificial Intelligence Research: A Bibliometric Analysis Approach,English,142,1,3,2024,19
375,Risks and benefits associated with the primary functions of artificial intelligence powered autoinjectors,English,55,1,1,2024,9
376,Analysis of Network Intrusion Detection via Explainable Artificial Intelligence: Applications with SHAP and LIME,English,24,1,1,2024,6
377,A Methodology for Representing and Assessing Artificial Intelligence Decision Aids within Modeling and Simulation,English,58,0,0,2024,25
378,Enhancing Code Obfuscation Techniques: Exploring the Impact of Artificial Intelligence on Malware Detection,English,19,0,0,2024,9
379,Suggesting Alternatives for Potentially Insecure Artificial Intelligence Repositories: An Unsupervised Graph Embedding Approach,English,29,0,0,2024,9
380,ElNnGA: An Artificial Intelligence Empowered Scheme for Unknown Attack Recognition and Defense Strategy Recommendation,English,21,0,0,2024,7
381,Leveraging Artificial Intelligence to mitigate User Susceptibility to Malicious Push Notifications during Augmented Reality Immersion,English,2,0,0,2024,240
382,PERCEPTION OF ARTIFICIAL INTELLIGENCE IN THE FIGHT AGAINST CORRUPTION: AN EXPLORATION OF THE CASE OF THE STATE OF COLOMBIA,Spanish,102,0,0,2024,39
383,The influence of artificial intelligence on the AISs efficiency: Moderating effect of the cyber security,English,92,18,25,2023,22
384,Leveraging Explainable Artificial Intelligence in Real-Time Cyberattack Identification: Intrusion Detection System Approach,English,27,11,12,2023,22
385,Evaluation Metrics Research for Explainable Artificial Intelligence Global Methods Using Synthetic Data,English,45,8,11,2023,13
386,Explainable artificial intelligence envisioned security mechanism for cyber threat hunting,English,29,6,8,2023,14
387,"Explainable Artificial Intelligence 101: Techniques, Applications and Challenges",English,36,0,1,2023,9
388,THE RISKS AND VULNERABILITIES OF ARTIFICIAL INTELLIGENCE USAGE IN INFORMATION SECURITY,English,17,0,1,2023,4
389,Artificial Intelligence: The Future of Sustainable Agriculture? A Research Agenda,English,72,0,0,2023,10
390,A Swarm Artificial Intelligence Approach for Effective Treatment of Chronic Conditions,English,0,0,0,2023,5
391,Human-centric artificial intelligence architecture for industry 5.0 applications,English,169,127,139,2023,26
392,Artificial Intelligence and Sustainability: A Bibliometric Analysis and Future Research Directions,English,51,25,28,2022,24
393,Artificial Intelligence and Human Psychology in Online Transaction Fraud,English,60,14,15,2022,9
394,"Recent Advances in Artificial Intelligence and Tactical Autonomy: Current Status, Challenges, and Perspectives",English,160,15,16,2022,22
395,Artificial Intelligence and Algorithmic Approaches of Health Security Systems: A Review,English,43,1,1,2025,16
396,Cryptographic Techniques in Artificial Intelligence Security: A Bibliometric Review,English,55,1,3,2025,16
397,Explainable artificial intelligence for botnet detection in internet of things,English,27,1,1,2025,17
398,A Systematic Review of Artificial Intelligence Techniques for Phishing Detection,English,51,0,0,2025,39
399,Research on Network Security Threat Detection and Response Mechanism Based on Artificial Intelligence,English,9,0,0,2025,4
400,Artificial intelligence and blockchain for quantum satellites and UAV-based communications: a review,English,244,0,0,2025,51
401,"Risk, regulation, and governance: evaluating artificial intelligence across diverse application scenarios",English,133,0,0,2025,40
402,Artificial intelligence for secure and sustainable industrial control systems - A Survey of challenges and solutions,English,305,0,0,2025,86
403,Insight into how legal and ethical considerations of artificial intelligence enhance the effectiveness of cyber forensic accounting,English,149,0,0,2025,31
404,An adaptable Intelligence Algorithm to a Cybersecurity Framework for IIOT,English,39,0,0,2022,13
405,"Artificial intelligence for sustainability: Challenges, opportunities, and a research agenda",English,178,483,594,2020,13
406,Artificial Intelligence and Information System Resilience to Cope With Supply Chain Disruption,English,87,53,56,2024,11
407,A Survey on Adversarial Attack in the Age of Artificial Intelligence,English,131,28,35,2021,22
408,Ransomware Attack Modeling and Artificial Intelligence-Based Ransomware Detection for Digital Substations,English,16,11,11,2021,5
409,Reliability: understanding cognitive human bias in artificial intelligence for national security and intelligence analysis,English,97,10,15,2022,21
410,Computational Intelligence Enabled Cybersecurity for the Internet of Things,English,69,33,39,2020,9
411,Artificial Neural Network for Cybersecurity: A Comprehensive Review,English,119,3,5,2021,14
412,"Information and communication technologies, artificial intelligence, and the fight against money laundering in Africa",English,42,8,10,2021,11
413,Reimagining infrared industry with artificial intelligence and IoT/IIoT,English,0,2,3,2020,25
414,The Use of Artificial Intelligence to Combat Corruption,English,20,0,0,2020,7
415,Cyber security meets artificial intelligence: a survey,English,66,112,146,2018,13
416,"ARTIFICIAL INTELLIGENCE, FINANCE, AND THE LAW",English,174,25,40,2019,21
417,Artificial Intelligence in Cyber Threats Intelligence,English,16,8,10,2018,4
418,ESTABLISHING LEGAL RIGHTS AND LIABILITIES FOR ARTIFICIAL INTELLIGENCE,English,23,2,3,2018,21
419,Machine Learning in Cybersecurity: Opportunities and Challenges,English,29,2,3,2024,8
420,A safer future: Leveraging the AI power to improve the cybersecurity in critical infrastructures,English,160,0,1,2024,22
421,"IF ARTIFICIAL INTELLIGENCE ASKS QUESTIONS, WILL NATURE ANSWER? PRESERVING FREE WILL IN A RECURSIVE SELF-IMPROVING AI CYBER-SECURE QUANTUM COMPUTING WORLD",English,30,1,1,2018,12
422,Hyper attack graph: Constructing a hypergraph for cyber threat intelligence analysis,English,45,6,6,2025,11
423,From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,English,65,227,283,2023,28
424,Semantic analysis of blockchain intelligence with proposed agenda for future issues,English,91,10,11,2023,21
425,Network and cybersecurity applications of defense in adversarial attacks: A state-of-the-art using machine learning and deep learning methods,English,124,14,16,2024,45
426,The Role of Machine Learning in Cybersecurity,English,183,71,90,2023,38
427,Cybersecurity threats and mitigation measures in agriculture 4.0 and 5.0,English,233,4,5,2024,30
428,Robust Botnet DGA Detection: Blending XAI and OSINT for Cyber Threat Intelligence Sharing,English,62,35,43,2022,12
429,Evaluating and Boosting Cybersecurity Awareness With an AI-Integrated Mobile App,English,34,0,0,2024,9
430,Position Paper: Revealing the Limits of Cybersecurity Law for Healthcare AI,English,60,0,0,2024,10
431,The social contract theory meets cybersecurity: systematic literature review,English,59,0,0,2025,20
432,A survey on cybersecurity attacks and defenses for unmanned aerial systems,English,169,18,23,2023,18
433,Applying Reinforcement Learning for Enhanced Cybersecurity against Adversarial Simulation,English,33,12,14,2023,14
434,Predictions of Cybersecurity Experts on Future Cyber-Attacks and Related Cybersecurity Measures,English,87,8,9,2023,9
435,Recommender Systems in Cybersecurity,English,208,8,11,2023,37
436,Transforming cybersecurity with agentic AI to combat emerging cyber threats,English,81,3,3,2025,12
437,Achieving High-fidelity Explanations for Risk Exposition Assessment in the Cybersecurity Domain,English,35,0,0,2023,10
438,Cybersecurity Threats and Their Mitigation Approaches Using Machine Learning-A Review,English,193,55,80,2022,29
439,Enhancing cybersecurity through script development using machine and deep learning for advanced threat mitigation,English,40,0,1,2025,14
440,The shifting landscape: a comprehensive examination of the top five emerging cybersecurity threats,English,28,0,0,2025,12
441,From Security Frameworks to Sustainable Municipal Cybersecurity Capabilities,English,68,0,0,2025,28
442,Cybersecurity Applications of Near-Term Large Language Models,English,35,0,0,2025,14
443,Cybersecurity in vehicle-to-grid (V2G) systems: A systematic review,English,173,0,0,2025,25
444,"The Paradigm of Hallucinations in AI-driven cybersecurity systems: Understanding taxonomy, classification outcomes, and mitigations",English,36,0,0,2025,16
445,AI-Based Phishing Detection and Student Cybersecurity Awareness in the Digital Age,English,32,0,0,2025,20
446,"Türkiye's Cybersecurity, Critical Infrastructure, and National Resilience in a Technopolar World Order",English,80,0,0,2025,24
447,Generating Fake Cyber Threat Intelligence Using Transformer-Based Models,English,57,36,39,2021,9
448,Cybersecurity Awareness and Training (CAT) Framework for Remote Working Employees,English,82,13,27,2022,23
449,Deep Learning Algorithms for Cybersecurity Applications: A Technological and Status Review,English,104,123,143,2021,15
450,Malware traffic classification using principal component analysis and artificial neural network for extreme surveillance,English,23,52,56,2019,8
451,Performance Comparison and Current Challenges of Using Machine Learning Techniques in Cybersecurity,English,169,170,199,2020,27
452,The Challenges of Leveraging Threat Intelligence to Stop Data Breaches,English,68,13,23,2020,11
453,Sifu - a cybersecurity awareness platform with challenge assessment and intelligent coach,English,95,17,22,2020,23
454,Cybersecurity Knowledge Graph Improvement with Graph Neural Networks,English,38,5,5,2021,8
455,A Brute-Force Black-Box Method to Attack Machine Learning-Based Systems in Cybersecurity,English,36,31,37,2020,14
456,Cybersecurity Challenges and Opportunities in the New Edge Computing plus IoT World,English,14,45,56,2018,4
457,Cognitive security: A comprehensive study of cognitive science in cybersecurity,English,51,46,54,2019,13
458,Cybersecurity in Intelligent Transportation Systems,English,31,24,30,2020,12
459,A Comparative Study of Deep Learning based Named Entity Recognition Algorithms for Cybersecurity,English,32,18,25,2020,9
460,Digital Human in Cybersecurity Risk Assessment,English,32,0,0,2021,15
461,Ethics of AI and Cybersecurity When Sovereignty is at Stake,English,20,23,38,2019,11
462,Potential Development on Cyberattack and Prospect Analysis for Cybersecurity,English,15,4,4,2020,6
463,A review on cybersecurity in railways,English,140,21,27,2023,18
464,A Cybersecurity Imperative on an Electronic Voting System in South Africa-2024 and Beyond,English,22,0,0,2021,9
465,Resolving the cybersecurity Data Sharing Paradox to scale up cybersecurity via a co-production approach towards data sharing,English,40,2,6,2020,10
466,"Big Data, Cybersecurity, and Challenges in Healthcare",English,37,5,8,2019,6
467,Cyber Attacks in Cyber-Physical Microgrid Systems: A Comprehensive Review,English,174,23,25,2023,36
468,Cybersecurity in the Era of Data Science: Examining New Adversarial Models,English,11,3,4,2019,7
469,Considerations for Human-Machine Teaming in Cybersecurity,English,35,3,3,2019,16
470,"Uniting cyber security and machine learning: Advantages, challenges and future research",English,34,48,57,2022,9
471,Machine Learning (In) Security: A Stream of Problems,English,160,11,11,2024,32
472,Generative AI in Cyber Security of Cyber Physical Systems: Benefits and Threats,English,57,8,8,2024,8
473,Enhancing Malicious URL Detection: A Novel Framework Leveraging Priority Coefficient and Feature Evaluation,English,101,7,7,2024,26
474,Generating realistic cyber data for training and evaluating machine learning classifiers for network intrusion detection systems,English,73,22,26,2022,18
475,The Al-Based Cyber Threat Landscape: A Survey,English,91,135,182,2020,34
476,A novel optimized probabilistic neural network approach for intrusion detection and categorization,English,21,21,26,2023,11
477,Modeling Realistic Adversarial Attacks against Network Intrusion Detection Systems,English,108,70,74,2022,19
478,"Recent Advances in Adversarial Machine Learning: Status, Challenges and Perspectives",English,75,15,18,2021,12
479,Asynchronous Advantage Actor-Critic (A3C) Learning for Cognitive Network Security,English,46,10,11,2021,8
480,A Review of Tabular Data Synthesis Using GANs on an IDS Dataset,English,48,84,97,2021,14
481,"An Insider Data Leakage Detection Using One-Hot Encoding, Synthetic Minority Oversampling and Machine Learning Techniques",English,82,81,97,2021,24
482,Real-Time Adversarial Attack Detection with Deep Image Prior Initialized as a High-Level Representation Based Blurring Network,English,39,7,7,2021,17
483,Machine learning to combat cyberattack: a survey of datasets and challenges,English,44,10,11,2023,12
484,Robust Ensemble Machine Learning Model for Filtering Phishing URLs: Expandable Random Gradient Stacked Voting Classifier (ERG-SVC),English,34,20,27,2021,20
485,Automated Structured Threat Information Expression (STIX) Document Generation with Privacy Preservation,English,25,15,21,2018,7
486,Generative Adversarial Networks in Security: A Survey,English,71,30,35,2020,7
487,When Machine Learning meets Security Issues: A survey,English,76,18,22,2018,8
488,Analyzing the Impact of Cyber Security Related Attributes for Intrusion Detection Systems,English,29,12,13,2021,19
489,"Human-in-the-Loop XAI-enabled Vulnerability Detection, Investigation, and Mitigation",English,5,16,19,2021,3
490,Using Deep Packet Inspection in Cyber Traffic Analysis,English,13,8,10,2021,6
491,Launching Adversarial Attacks against Network Intrusion Detection Systems for IoT,English,51,29,33,2021,22
492,Untargeted white-box adversarial attack with heuristic defence methods in real-time deep learning based network intrusion detection system,English,69,30,38,2024,17
493,A Survey on Machine Learning Techniques for Cyber Security in the Last Decade,English,587,232,265,2020,45
494,The Threat of Offensive AI to Organizations,English,269,26,33,2023,23
495,Adversarial machine learning in IoT from an insider point of view,English,81,23,23,2022,13
496,Open DNN Box by Power Side-Channel Attack,English,17,67,75,2020,5
497,Anomaly-Based Intrusion Detection by Machine Learning: A Case Study on Probing Attacks to an Institutional Network,English,52,24,30,2021,15
498,A Survey of Adversarial Machine Learning in Cyber Warfare,English,80,49,56,2018,11
499,Evidential classification and feature selection for cyber-threat hunting,English,45,8,13,2021,14
500,Adversarial Anomaly Detection Using Centroid-based Clustering,English,30,11,12,2018,8
501,A Systematic Review on the Integration of Artificial Intelligence into Energy Management Systems for Electric Vehicles: Recent Advances and Future Perspectives,English,72,25,28,2024,27
502,Optimized Artificial Neural Network Techniques to Improve Cybersecurity of Higher Education Institution,English,20,6,6,2022,15
503,Optimizing Network Cybersecurity: AI-Powered NLP for Natural Language Command Interpretation,English,27,0,0,2024,7
504,"AI Safety, Inclusion, and Cybersecurity Through Advanced Text Analytics",English,0,0,0,2025,3
505,Challenges and opportunities in the application of artificial intelligence in gastroenterology and hepatology,English,196,24,31,2021,33
506,"Artificial intelligence in ophthalmology: Progress, challenges, and ethical implications",English,133,2,2,2025,20
507,Perspectives of cybersecurity for ameliorative Industry 4.0 era: a review-based framework,English,124,9,13,2022,16
508,Augmented Intelligence: A Way for Helping Universities to Make Smarter Decisions,English,0,3,5,2019,7
509,Towards Data Science for Cybersecurity: Machine Learning Advances as Glowing Perspective,English,54,0,0,2023,23
510,Cybersecurity in Mexico: An In-Depth Analysis of a Fragmented Regulatory Landscape,English,87,0,0,2025,48
511,The Role of implementing Artificial Intelligence and Machine Learning Technologies in the financial services Industry for creating Competitive Intelligence,English,15,22,35,2022,4
512,Integrating artificial intelligence in energy transition: A comprehensive review,English,275,56,56,2025,40
513,A Survey of Artificial Intelligence Approaches to Safety and Mission-Critical Systems,English,33,1,1,2024,12
514,Roadmap for Cybersecurity in Autonomous Vehicles,English,26,32,38,2022,10
515,Unraveling the Ethical Enigma: Artificial Intelligence in Healthcare,English,45,95,123,2023,6
516,"Combining Edge Computing-Assisted Internet of Things Security with Artificial Intelligence: Applications, Challenges, and Opportunities",English,120,15,19,2024,25
517,"Phased Antenna Arrays, Software Defined Radio and Artificial Intelligence: Advancing LEO Satellite Communications",English,41,1,1,2024,8
518,Cybersecurity Governance Considerations for Smart Mobility Systems: Incremental Considerations Arising from Decentralization and Machine Learning,English,37,0,0,2024,8
519,Federated Learning for Enhanced Cybersecurity and Trustworthiness in 5G and 6G Networks: A Comprehensive Survey,English,370,13,14,2025,37
520,SSOLV: Real-Time AI/ML-Based Cybersecurity via Statistical Analysis,English,16,0,0,2024,9
521,What Influences People's Adoption of Cognitive Cybersecurity?,English,104,3,3,2024,18
522,Extending the Frontiers of Electronic Commerce Knowledge through Cybersecurity,English,50,3,4,2022,14
523,Artificial Intelligence based Network Intrusion Detection with hyper-parameter optimization tuning on the realistic cyber dataset CSE-CIC-IDS2018 using cloud computing,English,2,86,96,2019,4
524,An efficient cyber threat prediction using a novel artificial intelligence technique,English,37,4,4,2024,17
525,Evolving cybersecurity of AI-featured digital products and services: Rise of standardisation and certification??,English,80,3,3,2025,17
526,"The ethics of artificial intelligence, UNESCO and the African Ubuntu perspective",English,53,8,16,2023,17
527,Applications and Security Risks of Artificial Intelligence for Cyber Security in Digital Environment,English,30,3,3,2018,10
528,Cybersecurity Deception Experimentation System,English,13,9,10,2020,7
529,"Technical Innovations and Social Implications: Mapping Global Research Focus in AI, Blockchain, Cybersecurity, and Privacy",English,53,1,1,2024,29
530,ARCS-R: Mission Critical Combined Reliability and Cybersecurity Systems Engineering Analysis,English,25,0,0,2024,8
531,Exploring the Synergy Between Digital Twin Technology and Artificial Intelligence: A Comprehensive Survey,English,69,0,0,2025,13
532,"Chatgpt for cybersecurity: practical applications, challenges, and future directions",English,41,38,43,2023,16
533,Sec4ML: An approach to support Cybersecurity Data Publishing for Machine Learning tasks,English,38,0,0,2021,10
534,Public patient views of artificial intelligence in healthcare: A nominal group technique study,English,36,28,34,2021,11
535,Operational Roles of Artificial Intelligence in Energy Security: A Triangulated Review of Abstracts (2021-2025),English,117,0,0,2025,23
536,Cybersecurity Workforce Development: A Peer Mentoring Approach,English,11,5,10,2016,6
537,Out of the laboratory and into the classroom: the future of artificial intelligence in education,English,144,111,155,2021,18
538,"STAIDCC20: 1st InternationalWorkshop on Socio-technical AI Systems for Defence, Cybercrime and Cybersecurity",English,2,0,0,2020,2
539,Cybersecurity in Autonomous Vehicles-Are We Ready for the Challenge?,English,147,11,16,2024,21
540,"Surveying Judges about artificial intelligence: profession, judicial adjudication, and legal principles",English,64,4,9,2025,16
